GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Female:,Margin of Error; Female:,"Estimate; Female: - Management, business, science, and arts occupations:","Margin of Error; Female: - Management, business, science, and arts occupations:","Estimate; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:","Margin of Error; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,0,16,0,16,0,16
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",2308,320,1084,203,435,119,0,16
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",2675,291,1159,163,469,110,22,24
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",2120,288,1106,216,156,70,0,16
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",1083,149,491,95,224,62,4,6
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",2508,540,1502,341,249,129,14,25
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1191,220,708,156,133,63,7,11
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",113,161,41,59,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1691,274,901,158,164,87,7,11
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1102,176,603,131,134,73,0,11
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1559,335,663,176,132,71,0,11
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2394,371,1541,238,655,219,0,16
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",722,102,379,59,99,48,0,11
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1113,222,629,146,128,65,0,11
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1360,232,584,129,149,78,0,11
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",96,56,46,40,13,16,0,11
