STATION,C/A,UNIT,SCP,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               ,TalliedEntries,TalliedExits
1 AV,H008,R248,01-00-00,L,BMT,05/10/2016,08:00:00,REGULAR,151078069,2012857550,0,-75
104 ST,J034,R007,00-00-02,A,BMT,04/30/2016,00:00:00,REGULAR,137106561,622196069,-197,-150
111 ST,N138,R355,01-06-01,A,IND,05/05/2016,17:00:00,REGULAR,262165,65565,-83623965,65552
116 ST,N029,R333,01-00-02,BC,IND,05/21/2016,13:00:00,REGULAR,1275433173,1626930647,0,-2
125 ST,R258,R132,00-00-00,23,IRT,04/30/2016,01:00:00,RECOVR AUD,1693429957,788801692,-2682,2
14 ST,R127,R105,00-00-00,123FLM,IRT,04/30/2016,00:00:00,REGULAR,1601,10,-2969351,-1562476
14TH STREET,PTH11,R545,00-00-00,1,PTH,05/10/2016,01:41:09,REGULAR,5,79,-1998321,-336683
15 ST-PROSPECT,N542,R241,00-00-00,FG,IND,05/09/2016,16:30:00,REGULAR,1096,336,-1365,-3805
161/YANKEE STAD,N203,R195,00-00-01,BD4,IND,04/30/2016,00:22:00,RECOVR AUD,1401318365,1095533750,-843,-773
168 ST,N012,R035,01-05-00,AC1,IND,05/04/2016,12:00:00,REGULAR,46,789,-257094,-44489
170 ST,N208,R443,01-05-01,BD,IND,05/09/2016,13:00:00,REGULAR,916848676,2087386948,0,-1
174 ST,R322,R386,00-00-02,25,IRT,04/30/2016,01:00:00,REGULAR,689933653,302009443,-937,-383
23 ST,N508,R131,00-00-00,6,IND,04/30/2016,00:00:00,REGULAR,921895477,888421281,-1650,-1133
231 ST,R194,R040,00-06-00,1,IRT,05/27/2016,12:00:00,REGULAR,1,1,-46765,-157577
28 ST,R228,R143,00-00-01,6,IRT,05/11/2016,17:00:00,REGULAR,2148048,3755328,-1424900305,-1876058229
3 AV 138 ST,R401,R445,00-00-01,6,IRT,05/10/2016,13:00:00,REGULAR,190,157,-265611,-280259
3 AV-149 ST,R310,R053,01-00-02,25,IRT,04/30/2016,00:00:00,RECOVR AUD,1945274087,1241644969,-1117,2
33 ST-RAWSON ST,R516,R291,00-03-00,7,IRT,05/18/2016,16:00:00,REGULAR,2525,189,-1518641,-696262
34 ST-HERALD SQ,A025,R023,00-03-06,BDFMNQR,BMT,04/30/2016,00:00:00,RECOVR AUD,1337,260,-6010568,-175485
34 ST-PENN STA,N067,R012,00-03-00,ACE,IND,05/01/2016,16:00:00,RECOVR AUD,0,0,-1961790095,-486935778
36 ST,N312,R339,00-03-00,MR,IND,05/06/2016,05:00:00,REGULAR,217,24,-302009169,-974434
42 ST-PORT AUTH,N063A,R011,00-00-04,ACENQRS1237,IND,04/30/2016,00:00:00,RECOVR AUD,48761242,302142061,-2059,1
45 ST,C019,R232,00-00-02,R,BMT,04/30/2016,00:00:00,REGULAR,285055274,1157569582,-1310,-440
47-50 STS ROCK,N501,R020,01-00-00,BDFM,IND,05/21/2016,08:00:26,REGULAR,127811,121333,-1,-6
50 ST,E004,R188,00-00-00,CE,BMT,05/08/2016,16:00:00,REGULAR,189,59,-3121172,-3121678
