"CTLabel","BoroCode","BoroName","CT2010","BoroCT2010","CDEligibil","NTACode","NTAName","PUMA","Shape_Length","Shape_Area"
"148.02","1","Manhattan","014802","1014802","I","MN40","Upper East Side-Carnegie Hill","3805","",""
"154","1","Manhattan","015400","1015400","I","MN32","Yorkville","3805","",""
"184","1","Manhattan","018400","1018400","E","MN34","East Harlem North","3804","",""
"190","1","Manhattan","019000","1019000","I","MN11","Central Harlem South","3803","",""
"201.02","1","Manhattan","020102","1020102","E","MN11","Central Harlem South","3803","",""
"206","1","Manhattan","020600","1020600","E","MN03","Central Harlem North-Polo Grounds","3803","",""
"234","1","Manhattan","023400","1023400","E","MN03","Central Harlem North-Polo Grounds","3803","",""
"239","1","Manhattan","023900","1023900","E","MN36","Washington Heights South","3801","",""
"249","1","Manhattan","024900","1024900","E","MN36","Washington Heights South","3801","",""
"253","1","Manhattan","025300","1025300","E","MN36","Washington Heights South","3801","",""
"257","1","Manhattan","025700","1025700","E","MN11","Central Harlem South","3803","",""
"261","1","Manhattan","026100","1026100","E","MN36","Washington Heights South","3801","",""
"263","1","Manhattan","026300","1026300","E","MN36","Washington Heights South","3801","",""
"267","1","Manhattan","026700","1026700","E","MN35","Washington Heights North","3801","",""
"269","1","Manhattan","026900","1026900","E","MN35","Washington Heights North","3801","",""
"277","1","Manhattan","027700","1027700","E","MN35","Washington Heights North","3801","",""
"27.01","2","Bronx","002701","2002701","E","BX39","Mott Haven-Port Morris","3710","",""
"33","2","Bronx","003300","2003300","E","BX39","Mott Haven-Port Morris","3710","",""
"35","2","Bronx","003500","2003500","E","BX39","Mott Haven-Port Morris","3710","",""
"37","2","Bronx","003700","2003700","E","BX39","Mott Haven-Port Morris","3710","",""
"40.01","2","Bronx","004001","2004001","E","BX55","Soundview-Bruckner","3709","",""
"44","2","Bronx","004400","2004400","E","BX55","Soundview-Bruckner","3709","",""
"48","2","Bronx","004800","2004800","E","BX55","Soundview-Bruckner","3709","",""
"50.02","2","Bronx","005002","2005002","E","BX55","Soundview-Bruckner","3709","",""
"68","2","Bronx","006800","2006800","E","BX55","Soundview-Bruckner","3709","",""
"70","2","Bronx","007000","2007000","E","BX55","Soundview-Bruckner","3709","",""
"89","2","Bronx","008900","2008900","E","BX27","Hunts Point","3710","",""
"121.01","2","Bronx","012101","2012101","E","BX35","Morrisania-Melrose","3705","",""
"121.02","2","Bronx","012102","2012102","E","BX27","Hunts Point","3710","",""
"125","2","Bronx","012500","2012500","E","BX35","Morrisania-Melrose","3705","",""
"127.01","2","Bronx","012701","2012701","E","BX27","Hunts Point","3710","",""
"131","2","Bronx","013100","2013100","E","BX33","Longwood","3710","",""
"163","2","Bronx","016300","2016300","I","BX99","park-cemetery-etc-Bronx","3705","",""
"175","2","Bronx","017500","2017500","E","BX14","East Concourse-Concourse Village","3708","",""
"177.01","2","Bronx","017701","2017701","E","BX14","East Concourse-Concourse Village","3708","",""
"179.01","2","Bronx","017901","2017901","E","BX14","East Concourse-Concourse Village","3708","",""
"179.02","2","Bronx","017902","2017902","E","BX14","East Concourse-Concourse Village","3708","",""
"181.01","2","Bronx","018101","2018101","E","BX14","East Concourse-Concourse Village","3708","",""
"181.02","2","Bronx","018102","2018102","E","BX14","East Concourse-Concourse Village","3708","",""
"202","2","Bronx","020200","2020200","E","BX59","Westchester-Unionport","3709","",""
"204","2","Bronx","020400","2020400","E","BX59","Westchester-Unionport","3709","",""
"206.01","2","Bronx","020601","2020601","E","BX59","Westchester-Unionport","3709","",""
"216.01","2","Bronx","021601","2021601","E","BX08","West Farms-Bronx River","3709","",""
"221.02","2","Bronx","022102","2022102","E","BX63","West Concourse","3708","",""
"223","2","Bronx","022300","2022300","E","BX63","West Concourse","3708","",""
"232","2","Bronx","023200","2023200","E","BX37","Van Nest-Morris Park-Westchester Square","3704","",""
"236","2","Bronx","023600","2023600","I","BX37","Van Nest-Morris Park-Westchester Square","3704","",""
"237.03","2","Bronx","023703","2023703","E","BX40","Fordham South","3707","",""
"237.04","2","Bronx","023704","2023704","E","BX40","Fordham South","3707","",""
"239","2","Bronx","023900","2023900","E","BX40","Fordham South","3707","",""
"241","2","Bronx","024100","2024100","E","BX41","Mount Hope","3707","",""
"243","2","Bronx","024300","2024300","E","BX36","University Heights-Morris Heights","3707","",""
"246","2","Bronx","024600","2024600","I","BX49","Pelham Parkway","3704","",""
"250","2","Bronx","025000","2025000","E","BX49","Pelham Parkway","3704","",""
"287","2","Bronx","028700","2028700","I","BX29","Spuyten Duyvil-Kingsbridge","3701","",""
"288","2","Bronx","028800","2028800","I","BX49","Pelham Parkway","3704","",""
"330","2","Bronx","033000","2033000","E","BX07","Bronxdale","3704","",""
"360","2","Bronx","036000","2036000","I","BX31","Allerton-Pelham Gardens","3704","",""
"365.02","2","Bronx","036502","2036502","E","BX17","East Tremont","3705","",""
"372","2","Bronx","037200","2037200","E","BX44","Williamsbridge-Olinville","3702","",""
"392","2","Bronx","039200","2039200","E","BX44","Williamsbridge-Olinville","3702","",""
"394","2","Bronx","039400","2039400","E","BX44","Williamsbridge-Olinville","3702","",""
"396","2","Bronx","039600","2039600","E","BX44","Williamsbridge-Olinville","3702","",""
"399.02","2","Bronx","039902","2039902","E","BX05","Bedford Park-Fordham North","3706","",""
"401","2","Bronx","040100","2040100","E","BX05","Bedford Park-Fordham North","3706","",""
"403.03","2","Bronx","040303","2040303","E","BX28","Van Cortlandt Village","3701","",""
"403.04","2","Bronx","040304","2040304","E","BX28","Van Cortlandt Village","3701","",""
"405.01","2","Bronx","040501","2040501","E","BX05","Bedford Park-Fordham North","3706","",""
"405.02","2","Bronx","040502","2040502","E","BX05","Bedford Park-Fordham North","3706","",""
"406","2","Bronx","040600","2040600","I","BX44","Williamsbridge-Olinville","3702","",""
"407.01","2","Bronx","040701","2040701","E","BX28","Van Cortlandt Village","3701","",""
"422","2","Bronx","042200","2042200","E","BX44","Williamsbridge-Olinville","3702","",""
"423","2","Bronx","042300","2042300","E","BX43","Norwood","3706","",""
"429.02","2","Bronx","042902","2042902","E","BX43","Norwood","3706","",""
"430","2","Bronx","043000","2043000","I","BX62","Woodlawn-Wakefield","3702","",""
"434","2","Bronx","043400","2043400","E","BX62","Woodlawn-Wakefield","3702","",""
"436","2","Bronx","043600","2043600","I","BX62","Woodlawn-Wakefield","3702","",""
"153","2","Bronx","015300","2015300","E","BX75","Crotona Park East","3705","",""
"27.02","2","Bronx","002702","2002702","E","BX39","Mott Haven-Port Morris","3710","",""
"233.01","2","Bronx","023301","2023301","E","BX41","Mount Hope","3707","",""
"235.01","2","Bronx","023501","2023501","E","BX41","Mount Hope","3707","",""
"403.02","2","Bronx","040302","2040302","E","BX05","Bedford Park-Fordham North","3706","",""
"267.02","2","Bronx","026702","2026702","E","BX28","Van Cortlandt Village","3701","",""
"409","2","Bronx","040900","2040900","E","BX28","Van Cortlandt Village","3701","",""
"64","2","Bronx","006400","2006400","E","BX08","West Farms-Bronx River","3709","",""
"233.02","2","Bronx","023302","2023302","E","BX41","Mount Hope","3707","",""
"235.02","2","Bronx","023502","2023502","E","BX41","Mount Hope","3707","",""
"119","2","Bronx","011900","2011900","E","BX27","Hunts Point","3710","",""
"235.02","1","Manhattan","023502","1023502","E","MN03","Central Harlem North-Polo Grounds","3803","",""
"197.02","1","Manhattan","019702","1019702","E","MN11","Central Harlem South","3803","",""
"328","2","Bronx","032800","2032800","E","BX07","Bronxdale","3704","",""
"340","2","Bronx","034000","2034000","E","BX07","Bronxdale","3704","",""
"418","2","Bronx","041800","2041800","E","BX62","Woodlawn-Wakefield","3702","",""
"175","1","Manhattan","017500","1017500","I","MN12","Upper West Side","3806","",""
"225","1","Manhattan","022500","1022500","E","MN04","Hamilton Heights","3802","",""
"231","1","Manhattan","023100","1023100","E","MN04","Hamilton Heights","3802","",""
"245","1","Manhattan","024500","1024500","E","MN36","Washington Heights South","3801","",""
"251","1","Manhattan","025100","1025100","E","MN36","Washington Heights South","3801","",""
"271","1","Manhattan","027100","1027100","E","MN35","Washington Heights North","3801","",""
